Date,Type,ICT_Category,Matched_Keywords,Policy_Title,Link
2025-12-23,Presidential Document,General/Other,,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2025, and December 26, 2025",https://www.federalregister.gov/documents/2025/12/23/2025-23847/providing-for-the-closing-of-executive-departments-and-agencies-of-the-federal-government-on
2025-12-23,Presidential Document,17. Mobile Wireless,Spectrum,Increasing Medical Marijuana and Cannabidiol Research,https://www.federalregister.gov/documents/2025/12/23/2025-23846/increasing-medical-marijuana-and-cannabidiol-research
2025-12-23,Presidential Document,"17. Mobile Wireless, 37. Energy/Utility","Spectrum, Nuclear",Ensuring American Space Superiority,https://www.federalregister.gov/documents/2025/12/23/2025-23845/ensuring-american-space-superiority
2025-12-23,Presidential Document,General/Other,,Adjustments of Certain Rates of Pay,https://www.federalregister.gov/documents/2025/12/23/2025-23844/adjustments-of-certain-rates-of-pay
2025-12-19,Presidential Document,16. Mobile Device,SoC,Restricting and Limiting the Entry of Foreign Nationals To Protect the Security of the United States,https://www.federalregister.gov/documents/2025/12/19/2025-23570/restricting-and-limiting-the-entry-of-foreign-nationals-to-protect-the-security-of-the-united-states
2025-12-19,Presidential Document,General/Other,,Presidential Determination With Respect to the Efforts of Foreign Governments Regarding Trafficking in Persons,https://www.federalregister.gov/documents/2025/12/19/2025-23569/presidential-determination-with-respect-to-the-efforts-of-foreign-governments-regarding-trafficking
2025-12-19,Presidential Document,16. Mobile Device,SoC,Delegation of Authority Under Section 208(d)(6) of the Compact of Free Association Amendments Act of 2024,https://www.federalregister.gov/documents/2025/12/19/2025-23568/delegation-of-authority-under-section-208d6-of-the-compact-of-free-association-amendments-act-of
2025-12-19,Presidential Document,16. Mobile Device,SoC,Presidential Determination Pursuant to Section 1245(d)(4)(B) and (C) of the National Defense Authorization Act for Fiscal Year 2012,https://www.federalregister.gov/documents/2025/12/19/2025-23567/presidential-determination-pursuant-to-section-1245d4b-and-c-of-the-national-defense-authorization
2025-12-18,Presidential Document,17. Mobile Wireless,Spectrum,Designating Fentanyl as a Weapon of Mass Destruction,https://www.federalregister.gov/documents/2025/12/18/2025-23417/designating-fentanyl-as-a-weapon-of-mass-destruction
2025-12-18,Presidential Document,6. Blockchain,RWA,"Bill of Rights Day, 2025",https://www.federalregister.gov/documents/2025/12/18/2025-23416/bill-of-rights-day-2025
2025-12-16,Presidential Document,"16. Mobile Device, 21. Regulation","SoC, Antitrust",Protecting American Investors From Foreign-Owned and Politically-Motivated Proxy Advisors,https://www.federalregister.gov/documents/2025/12/16/2025-23093/protecting-american-investors-from-foreign-owned-and-politically-motivated-proxy-advisors
2025-12-16,Presidential Document,"4. AI, 30. Content Platform","Artificial Intelligence, Algorithm",Ensuring a National Policy Framework for Artificial Intelligence,https://www.federalregister.gov/documents/2025/12/16/2025-23092/ensuring-a-national-policy-framework-for-artificial-intelligence
2025-12-10,Presidential Document,16. Mobile Device,SoC,Addressing Security Risks From Price Fixing and Anti-Competitive Behavior in the Food Supply Chain,https://www.federalregister.gov/documents/2025/12/10/2025-22537/addressing-security-risks-from-price-fixing-and-anti-competitive-behavior-in-the-food-supply-chain
2025-12-10,Presidential Document,General/Other,,"National Pearl Harbor Remembrance Day, 2025",https://www.federalregister.gov/documents/2025/12/10/2025-22536/national-pearl-harbor-remembrance-day-2025
2025-12-09,Presidential Document,General/Other,,"Honoring the Memory of Specialist Sarah Beckstrom, West Virginia Army National Guard",https://www.federalregister.gov/documents/2025/12/09/2025-22423/honoring-the-memory-of-specialist-sarah-beckstrom-west-virginia-army-national-guard
2025-12-03,Presidential Document,General/Other,,"Thanksgiving Day, 2025",https://www.federalregister.gov/documents/2025/12/03/2025-21910/thanksgiving-day-2025
2025-11-28,Presidential Document,"4. AI, 6. Blockchain, 15. Hardware, 16. Mobile Device, 37. Energy/Utility","RWA, SoC, Artificial Intelligence, Semiconductor, Nuclear",Launching the Genesis Mission,https://www.federalregister.gov/documents/2025/11/28/2025-21665/launching-the-genesis-mission
2025-11-28,Presidential Document,General/Other,,Designation of Certain Muslim Brotherhood Chapters as Foreign Terrorist Organizations and Specially Designated Global Terrorists,https://www.federalregister.gov/documents/2025/11/28/2025-21664/designation-of-certain-muslim-brotherhood-chapters-as-foreign-terrorist-organizations-and-specially
2025-11-26,Presidential Document,General/Other,,Regulatory Relief for Certain Stationary Sources To Promote American Coke Oven Processing Security,https://www.federalregister.gov/documents/2025/11/26/2025-21418/regulatory-relief-for-certain-stationary-sources-to-promote-american-coke-oven-processing-security
2025-11-26,Presidential Document,General/Other,,Modifying the Scope of Tariffs on the Government of Brazil,https://www.federalregister.gov/documents/2025/11/26/2025-21417/modifying-the-scope-of-tariffs-on-the-government-of-brazil
2025-11-25,Presidential Document,General/Other,,Modifying the Scope of the Reciprocal Tariffs With Respect to Certain Agricultural Products,https://www.federalregister.gov/documents/2025/11/25/2025-21203/modifying-the-scope-of-the-reciprocal-tariffs-with-respect-to-certain-agricultural-products
2025-11-20,Presidential Document,General/Other,,"National Adoption Month, 2025",https://www.federalregister.gov/documents/2025/11/20/2025-20570/national-adoption-month-2025
2025-11-19,Presidential Document,4. AI,Artificial Intelligence,Fostering the Future for American Children and Families,https://www.federalregister.gov/documents/2025/11/19/2025-20406/fostering-the-future-for-american-children-and-families
2025-11-14,Presidential Document,16. Mobile Device,SoC,"Veterans Day, 2025",https://www.federalregister.gov/documents/2025/11/14/2025-19995/veterans-day-2025
2025-11-14,Presidential Document,General/Other,,250th Anniversary of the Founding of the United States Marine Corps,https://www.federalregister.gov/documents/2025/11/14/2025-19994/250th-anniversary-of-the-founding-of-the-united-states-marine-corps
2025-11-14,Presidential Document,6. Blockchain,RWA,Granting Pardons for Certain Offenses Related to the 2020 Presidential Election,https://www.federalregister.gov/documents/2025/11/14/2025-19928/granting-pardons-for-certain-offenses-related-to-the-2020-presidential-election
2025-11-13,Presidential Document,16. Mobile Device,SoC,"Anti-Communism Week, 2025",https://www.federalregister.gov/documents/2025/11/13/2025-19892/anti-communism-week-2025
2025-11-07,Presidential Document,"15. Hardware, 38. Metals","Semiconductor, Rare earth",Modifying Reciprocal Tariff Rates Consistent With the Economic and Trade Arrangement Between the United States and the People's Republic of China,https://www.federalregister.gov/documents/2025/11/07/2025-19826/modifying-reciprocal-tariff-rates-consistent-with-the-economic-and-trade-arrangement-between-the
2025-11-07,Presidential Document,General/Other,,Modifying Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,https://www.federalregister.gov/documents/2025/11/07/2025-19825/modifying-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china
2025-11-03,Presidential Document,15. Hardware,Semiconductor,Regulatory Relief for Certain Stationary Sources To Promote American Mineral Security,https://www.federalregister.gov/documents/2025/11/03/2025-19775/regulatory-relief-for-certain-stationary-sources-to-promote-american-mineral-security
2025-10-31,Presidential Document,16. Mobile Device,SoC,Presidential Determination on Transferring the United States Program of Initial Refugee Resettlement,https://www.federalregister.gov/documents/2025/10/31/2025-19753/presidential-determination-on-transferring-the-united-states-program-of-initial-refugee-resettlement
2025-10-31,Presidential Document,General/Other,,Presidential Determination on Refugee Admissions for Fiscal Year 2026,https://www.federalregister.gov/documents/2025/10/31/2025-19752/presidential-determination-on-refugee-admissions-for-fiscal-year-2026
2025-10-22,Presidential Document,37. Energy/Utility,Nuclear,"National Energy Dominance Month, 2025",https://www.federalregister.gov/documents/2025/10/22/2025-19641/national-energy-dominance-month-2025
2025-10-22,Presidential Document,4. AI,Artificial Intelligence,"National Cybersecurity Awareness Month, 2025",https://www.federalregister.gov/documents/2025/10/22/2025-19640/national-cybersecurity-awareness-month-2025
2025-10-22,Presidential Document,General/Other,,"Adjusting Imports of Medium- and Heavy-Duty Vehicles, Medium- and Heavy-Duty Vehicle Parts, and Buses Into the United States",https://www.federalregister.gov/documents/2025/10/22/2025-19639/adjusting-imports-of-medium--and-heavy-duty-vehicles-medium--and-heavy-duty-vehicle-parts-and-buses
2025-10-20,Presidential Document,"6. Blockchain, 16. Mobile Device","RWA, SoC",Ensuring Continued Accountability in Federal Hiring,https://www.federalregister.gov/documents/2025/10/20/2025-19614/ensuring-continued-accountability-in-federal-hiring
2025-10-17,Presidential Document,General/Other,,National Day of Remembrance for Charlie Kirk,https://www.federalregister.gov/documents/2025/10/17/2025-19594/national-day-of-remembrance-for-charlie-kirk
2025-10-16,Presidential Document,General/Other,,250th Anniversary of the Founding of the United States Navy,https://www.federalregister.gov/documents/2025/10/16/2025-19586/250th-anniversary-of-the-founding-of-the-united-states-navy
2025-10-16,Presidential Document,6. Blockchain,RWA,"General Pulaski Memorial Day, 2025",https://www.federalregister.gov/documents/2025/10/16/2025-19585/general-pulaski-memorial-day-2025
2025-10-14,Presidential Document,6. Blockchain,RWA,"Columbus Day, 2025",https://www.federalregister.gov/documents/2025/10/14/2025-19563/columbus-day-2025
2025-10-14,Presidential Document,6. Blockchain,RWA,"Leif Erikson Day, 2025",https://www.federalregister.gov/documents/2025/10/14/2025-19561/leif-erikson-day-2025
2025-10-09,Presidential Document,General/Other,,"Fire Prevention Week, 2025",https://www.federalregister.gov/documents/2025/10/09/2025-19534/fire-prevention-week-2025
2025-10-07,Presidential Document,4. AI,"Artificial Intelligence, LLM","National Manufacturing Day, 2025",https://www.federalregister.gov/documents/2025/10/07/2025-19497/national-manufacturing-day-2025
2025-10-07,Presidential Document,"4. AI, 21. Regulation, 44. Pharmacy","Artificial Intelligence, Clinical trial, AI Act",Unlocking Cures for Pediatric Cancer With Artificial Intelligence,https://www.federalregister.gov/documents/2025/10/07/2025-19495/unlocking-cures-for-pediatric-cancer-with-artificial-intelligence
2025-10-06,Presidential Document,General/Other,,Continuance of Certain Federal Advisory Committees,https://www.federalregister.gov/documents/2025/10/06/2025-19485/continuance-of-certain-federal-advisory-committees
2025-10-06,Presidential Document,General/Other,,Assuring the Security of the State of Qatar,https://www.federalregister.gov/documents/2025/10/06/2025-19483/assuring-the-security-of-the-state-of-qatar
2025-10-06,Presidential Document,37. Energy/Utility,Nuclear,"Adjusting Imports of Timber, Lumber, and Their Derivative Products Into the United States",https://www.federalregister.gov/documents/2025/10/06/2025-19482/adjusting-imports-of-timber-lumber-and-their-derivative-products-into-the-united-states
2025-09-30,Presidential Document,"16. Mobile Device, 30. Content Platform","SoC, Algorithm",Saving TikTok While Protecting National Security,https://www.federalregister.gov/documents/2025/09/30/2025-19139/saving-tiktok-while-protecting-national-security
2025-09-30,Presidential Document,General/Other,,"Gold Star Mother's and Family's Day, 2025",https://www.federalregister.gov/documents/2025/09/30/2025-19138/gold-star-mothers-and-familys-day-2025
2025-09-25,Presidential Document,General/Other,,"National Hispanic Heritage Month, 2025",https://www.federalregister.gov/documents/2025/09/25/2025-18708/national-hispanic-heritage-month-2025
2025-09-24,Presidential Document,General/Other,,The Gold Card,https://www.federalregister.gov/documents/2025/09/24/2025-18602/the-gold-card
2025-09-24,Presidential Document,14. IT Service,IT outsourcing,Restriction on Entry of Certain Nonimmigrant Workers,https://www.federalregister.gov/documents/2025/09/24/2025-18601/restriction-on-entry-of-certain-nonimmigrant-workers
2025-09-24,Presidential Document,General/Other,,"National POW/MIA Recognition Day, 2025",https://www.federalregister.gov/documents/2025/09/24/2025-18600/national-powmia-recognition-day-2025
2025-09-23,Presidential Document,General/Other,,"Constitution Week, 2025",https://www.federalregister.gov/documents/2025/09/23/2025-18485/constitution-week-2025
2025-09-23,Presidential Document,General/Other,,Further Extending the TikTok Enforcement Delay,https://www.federalregister.gov/documents/2025/09/23/2025-18482/further-extending-the-tiktok-enforcement-delay
2025-09-23,Presidential Document,16. Mobile Device,SoC,Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,https://www.federalregister.gov/documents/2025/09/23/2025-18479/establishing-an-emergency-board-to-investigate-disputes-between-the-long-island-rail-road-company
2025-09-17,Presidential Document,16. Mobile Device,SoC,Presidential Determination on Major Drug Transit or Major Illicit Drug Producing Countries for Fiscal Year 2026,https://www.federalregister.gov/documents/2025/09/17/2025-18078/presidential-determination-on-major-drug-transit-or-major-illicit-drug-producing-countries-for
2025-09-16,Presidential Document,General/Other,,"Patriot Day 2025, the 24th Anniversary of the September 11 Terrorist Attacks",https://www.federalregister.gov/documents/2025/09/16/2025-17966/patriot-day-2025-the-24th-anniversary-of-the-september-11-terrorist-attacks
2025-09-15,Presidential Document,General/Other,,Honoring the Memory of Charlie Kirk,https://www.federalregister.gov/documents/2025/09/15/2025-17860/honoring-the-memory-of-charlie-kirk
2025-09-10,Presidential Document,"6. Blockchain, 16. Mobile Device","RWA, SoC",Strengthening Efforts To Protect U.S. Nationals From Wrongful Detention Abroad,https://www.federalregister.gov/documents/2025/09/10/2025-17509/strengthening-efforts-to-protect-us-nationals-from-wrongful-detention-abroad
2025-09-10,Presidential Document,General/Other,,Restoring the United States Department of War,https://www.federalregister.gov/documents/2025/09/10/2025-17508/restoring-the-united-states-department-of-war
2025-09-10,Presidential Document,General/Other,,Modifying the Scope of Reciprocal Tariffs and Establishing Procedures for Implementing Trade and Security Agreements,https://www.federalregister.gov/documents/2025/09/10/2025-17507/modifying-the-scope-of-reciprocal-tariffs-and-establishing-procedures-for-implementing-trade-and
2025-09-09,Presidential Document,General/Other,,Implementing the United States-Japan Agreement,https://www.federalregister.gov/documents/2025/09/09/2025-17389/implementing-the-united-states-japan-agreement
2025-09-04,Presidential Document,General/Other,,Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,https://www.federalregister.gov/documents/2025/09/04/2025-17036/continuation-of-the-exercise-of-certain-authorities-under-the-trading-with-the-enemy-act
2025-09-03,Presidential Document,General/Other,,Use of Appropriated Funds for Illegal Lobbying and Partisan Political Activity by Federal Grantees,https://www.federalregister.gov/documents/2025/09/03/2025-16935/use-of-appropriated-funds-for-illegal-lobbying-and-partisan-political-activity-by-federal-grantees
2025-09-03,Presidential Document,16. Mobile Device,SoC,Making Federal Architecture Beautiful Again,https://www.federalregister.gov/documents/2025/09/03/2025-16928/making-federal-architecture-beautiful-again
2025-09-03,Presidential Document,General/Other,,Further Exclusions From the Federal Labor- Management Relations Program,https://www.federalregister.gov/documents/2025/09/03/2025-16924/further-exclusions-from-the-federal-labor--management-relations-program
2025-09-03,Presidential Document,General/Other,,"Labor Day, 2025",https://www.federalregister.gov/documents/2025/09/03/2025-16923/labor-day-2025
2025-09-03,Presidential Document,General/Other,,"Overdose Prevention Week, 2025",https://www.federalregister.gov/documents/2025/09/03/2025-16922/overdose-prevention-week-2025
2025-09-02,Presidential Document,General/Other,,"Honoring the Victims of the Tragedy in Minneapolis, Minnesota",https://www.federalregister.gov/documents/2025/09/02/2025-16846/honoring-the-victims-of-the-tragedy-in-minneapolis-minnesota
2025-08-28,Presidential Document,16. Mobile Device,SoC,Taking Steps To End Cashless Bail To Protect Americans,https://www.federalregister.gov/documents/2025/08/28/2025-16618/taking-steps-to-end-cashless-bail-to-protect-americans
2025-08-28,Presidential Document,General/Other,,Prosecuting Burning of the American Flag,https://www.federalregister.gov/documents/2025/08/28/2025-16616/prosecuting-burning-of-the-american-flag
2025-08-28,Presidential Document,General/Other,,Measures To End Cashless Bail and Enforce the Law in the District of Columbia,https://www.federalregister.gov/documents/2025/08/28/2025-16615/measures-to-end-cashless-bail-and-enforce-the-law-in-the-district-of-columbia
2025-08-28,Presidential Document,General/Other,,Additional Measures To Address the Crime Emergency in the District of Columbia,https://www.federalregister.gov/documents/2025/08/28/2025-16614/additional-measures-to-address-the-crime-emergency-in-the-district-of-columbia
2025-08-28,Presidential Document,General/Other,,"Fourth Anniversary of the Attack at Abbey Gate, 2025",https://www.federalregister.gov/documents/2025/08/28/2025-16599/fourth-anniversary-of-the-attack-at-abbey-gate-2025
2025-08-26,Presidential Document,General/Other,,Improving Our Nation Through Better Design,https://www.federalregister.gov/documents/2025/08/26/2025-16396/improving-our-nation-through-better-design
2025-08-19,Presidential Document,16. Mobile Device,SoC,90th Anniversary of the Social Security Act,https://www.federalregister.gov/documents/2025/08/19/2025-15827/90th-anniversary-of-the-social-security-act
2025-08-19,Presidential Document,General/Other,,Revocation of Executive Order on Competition,https://www.federalregister.gov/documents/2025/08/19/2025-15824/revocation-of-executive-order-on-competition
2025-08-19,Presidential Document,General/Other,,Ensuring American Pharmaceutical Supply Chain Resilience by Filling the Strategic Active Pharmaceutical Ingredients Reserve,https://www.federalregister.gov/documents/2025/08/19/2025-15823/ensuring-american-pharmaceutical-supply-chain-resilience-by-filling-the-strategic-active
2025-08-19,Presidential Document,"6. Blockchain, 16. Mobile Device","RWA, SoC",Enabling Competition in the Commercial Space Industry,https://www.federalregister.gov/documents/2025/08/19/2025-15822/enabling-competition-in-the-commercial-space-industry
2025-08-15,Presidential Document,General/Other,,Establishing a Trump Route for International Peace and Prosperity Working Group,https://www.federalregister.gov/documents/2025/08/15/2025-15683/establishing-a-trump-route-for-international-peace-and-prosperity-working-group
2025-08-15,Presidential Document,General/Other,,Extension of Waiver of Section 907 of the FREEDOM Support Act with Respect to Assistance to the Government of Azerbaijan,https://www.federalregister.gov/documents/2025/08/15/2025-15682/extension-of-waiver-of-section-907-of-the-freedom-support-act-with-respect-to-assistance-to-the
2025-08-15,Presidential Document,General/Other,,Presidential Determination and Certification with Respect to the Child Soldiers Prevention Act of 2008,https://www.federalregister.gov/documents/2025/08/15/2025-15680/presidential-determination-and-certification-with-respect-to-the-child-soldiers-prevention-act-of
2025-08-15,Presidential Document,General/Other,,Continuation of U.S. Drug Interdiction Assistance to the Government of Colombia,https://www.federalregister.gov/documents/2025/08/15/2025-15679/continuation-of-us-drug-interdiction-assistance-to-the-government-of-colombia
2025-08-15,Presidential Document,General/Other,,Delegation of Authority Under Section 404 (c) of the Child Soldiers Prevention Act of 2008,https://www.federalregister.gov/documents/2025/08/15/2025-15656/delegation-of-authority-under-section-404-c-of-the-child-soldiers-prevention-act-of-2008
2025-08-14,Presidential Document,General/Other,,Further Modifying Reciprocal Tariff Rates To Reflect Ongoing Discussions With the People's Republic of China,https://www.federalregister.gov/documents/2025/08/14/2025-15554/further-modifying-reciprocal-tariff-rates-to-reflect-ongoing-discussions-with-the-peoples-republic
2025-08-14,Presidential Document,General/Other,,Declaring a Crime Emergency in the District of Columbia,https://www.federalregister.gov/documents/2025/08/14/2025-15550/declaring-a-crime-emergency-in-the-district-of-columbia
2025-08-12,Presidential Document,16. Mobile Device,SoC,Improving Oversight of Federal Grantmaking,https://www.federalregister.gov/documents/2025/08/12/2025-15344/improving-oversight-of-federal-grantmaking
2025-08-12,Presidential Document,16. Mobile Device,SoC,Guaranteeing Fair Banking for All Americans,https://www.federalregister.gov/documents/2025/08/12/2025-15341/guaranteeing-fair-banking-for-all-americans
2025-08-12,Presidential Document,16. Mobile Device,SoC,Democratizing Access to Alternative Assets for 401(k) Investors,https://www.federalregister.gov/documents/2025/08/12/2025-15340/democratizing-access-to-alternative-assets-for-401k-investors
2025-08-12,Presidential Document,General/Other,,"National Purple Heart Day, 2025",https://www.federalregister.gov/documents/2025/08/12/2025-15339/national-purple-heart-day-2025
2025-08-12,Presidential Document,"16. Mobile Device, 18. Broadband/IPTV","SoC, Broadcasting",Reissuance of and Amendments to National Security Presidential Memorandum 5 on Strengthening the Policy of the United States Toward Cuba,https://www.federalregister.gov/documents/2025/08/12/2025-15338/reissuance-of-and-amendments-to-national-security-presidential-memorandum-5-on-strengthening-the
2025-08-11,Presidential Document,General/Other,,Addressing Threats to the United States by the Government of the Russian Federation,https://www.federalregister.gov/documents/2025/08/11/2025-15267/addressing-threats-to-the-united-states-by-the-government-of-the-russian-federation
2025-08-08,Presidential Document,General/Other,,Establishing the White House Task Force on the 2028 Summer Olympics,https://www.federalregister.gov/documents/2025/08/08/2025-15193/establishing-the-white-house-task-force-on-the-2028-summer-olympics
2025-08-06,Presidential Document,16. Mobile Device,SoC,"President's Council on Sports, Fitness, and Nutrition, and the Reestablishment of the Presidential Fitness Test",https://www.federalregister.gov/documents/2025/08/06/2025-15011/presidents-council-on-sports-fitness-and-nutrition-and-the-reestablishment-of-the-presidential
2025-08-06,Presidential Document,General/Other,,Further Modifying the Reciprocal Tariff Rates,https://www.federalregister.gov/documents/2025/08/06/2025-15010/further-modifying-the-reciprocal-tariff-rates
2025-08-06,Presidential Document,General/Other,,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.federalregister.gov/documents/2025/08/06/2025-14999/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border
2025-08-05,Presidential Document,General/Other,,Suspending Duty-Free De Minimis Treatment for All Countries,https://www.federalregister.gov/documents/2025/08/05/2025-14897/suspending-duty-free-de-minimis-treatment-for-all-countries
2025-08-05,Presidential Document,"16. Mobile Device, 30. Content Platform","SoC, Algorithm",Addressing Threats to the United States by the Government of Brazil,https://www.federalregister.gov/documents/2025/08/05/2025-14896/addressing-threats-to-the-united-states-by-the-government-of-brazil
2025-08-05,Presidential Document,6. Blockchain,RWA,Adjusting Imports of Copper Into the United States,https://www.federalregister.gov/documents/2025/08/05/2025-14893/adjusting-imports-of-copper-into-the-united-states
